"noOfBs","noOfGs","noOfFs","longestSeqOfBs","longestSeqOfGs","label"
2083,2939,0,0,0,1
1883,3036,0,0,0,1
1885,3092,0,0,0,1
2053,2855,0,0,0,1
2106,2796,0,0,0,1
2195,2949,0,0,0,1
2340,3114,0,0,0,1
2413,3320,0,0,0,1
1284,1753,1,2476,795,0
1931,2675,0,0,0,1
1550,2114,0,0,0,1
3981,190,0,0,0,0
816,929,0,0,0,1
943,1273,0,0,0,1
1890,2978,0,0,0,1
859,878,0,0,0,1
995,1093,0,0,0,1
1403,1884,0,0,0,1
27369,2210,1,3716,453,0
2934,2004,0,0,0,0
539,397,0,0,0,0
1000,1041,0,0,0,1
1184,1467,0,0,0,1
75,53,1,11,1,0
5889,20003,0,0,0,1
1980,2544,0,0,0,1
2143,2942,0,0,0,1
1056,592,1,1244,325,0
29315,120543,0,0,0,1
865,905,0,0,0,1
1512,1602,0,0,0,1
2085,1411,0,0,0,0
1126,3562,0,0,0,1
512,450,0,0,0,1
550,521,0,0,0,1
767,441,0,0,0,0
831,707,0,0,0,1
205,148,1,5,98,0
900,918,0,0,0,1
1010,1011,0,0,0,1
529,405,0,0,0,0
16604,91071,1,13185,1235,0
6248,51401,0,0,0,1
